#Date,Temperatur,Luftfuktighet
2019-09-02 22:59:22,24.2,20
2019-09-02 23:55:21,23.8,20
2019-09-03 00:56:09,23.4,20
2019-09-03 00:56:09,23.4,20
2019-09-03 02:53:45,23,20
2019-09-03 03:56:58,22.8,20
2019-09-03 04:44:57,22.8,20
2019-09-03 05:48:09,22.8,37
2019-09-03 06:55:21,22.8,71
2019-09-03 07:52:57,22.9,74
2019-09-03 08:50:33,22.9,75
2019-09-03 09:57:46,22.9,75
2019-09-03 10:57:45,23,76
2019-09-03 11:52:57,23.4,75
2019-09-03 12:47:21,23.5,75
2019-09-03 13:57:45,23.6,74
2019-09-03 14:52:57,23.7,75
2019-09-03 15:52:09,23.9,75
2019-09-03 16:49:45,24.3,75
2019-09-03 17:59:21,24.3,74
2019-09-03 18:56:08,24.7,74
2019-09-03 19:51:21,24.7,70
2019-09-03 20:56:08,24.3,58
2019-09-03 21:59:20,24.1,58
2019-09-03 22:51:20,23.7,38
2019-09-03 23:54:32,23.5,20
2019-09-04 00:56:56,23.1,20
2019-09-04 01:50:32,22.9,20
2019-09-04 02:55:20,22.8,20
2019-09-04 03:57:44,22.6,20
2019-09-04 04:50:32,22.4,20
2019-09-04 05:53:44,22.5,51
2019-09-04 06:56:08,22.7,74
2019-09-04 08:00:10,22.6,75
2019-09-04 08:53:44,23.1,75
2019-09-04 09:56:56,23.5,74
2019-09-04 10:50:32,23.6,74
2019-09-04 11:51:20,23.3,73
2019-09-04 12:56:08,23.5,75
2019-09-04 13:52:08,23.6,75
2019-09-04 14:56:07,23.4,75
2019-09-04 16:00:11,23.3,75
2019-09-04 16:52:56,22.9,74
2019-09-04 17:58:31,22.8,74
2019-09-04 18:20:07,22.8,74
2019-09-04 19:54:31,22.9,64
2019-09-04 20:44:55,22.8,39
2019-09-04 21:44:55,22.7,59
2019-09-04 22:49:43,22.6,20
2019-09-04 23:48:07,22.4,20
2019-09-05 01:00:07,22.3,20
2019-09-05 01:53:43,22.2,20
2019-09-05 02:56:55,22.1,20
2019-09-05 03:50:31,22,20
2019-09-05 04:53:43,22,20
2019-09-05 05:56:55,21.9,49
2019-09-05 06:50:31,21.9,75
2019-09-05 07:53:43,22.2,76
2019-09-05 08:57:43,22.6,76
2019-09-05 09:51:18,22.6,76
2019-09-05 10:55:18,22.7,76
2019-09-05 11:57:42,22.8,76
2019-09-05 12:51:18,22.8,76
2019-09-05 13:53:42,22.8,76
2019-09-05 14:51:18,22.9,76
2019-09-05 15:56:06,23,76
2019-09-05 16:59:18,23.2,75
2019-09-05 17:51:18,23.4,74
2019-09-05 18:54:30,23.2,74
2019-09-05 19:58:30,23,67
2019-09-05 20:54:30,22.8,59
2019-09-05 21:54:30,22.9,59
2019-09-05 22:56:54,22.9,59
2019-09-06 00:00:08,22.7,20
2019-09-06 00:52:54,22.4,20
2019-09-06 01:56:06,22.4,20
2019-09-06 02:58:30,22.3,20
2019-09-06 03:50:30,22.1,20
2019-09-06 04:52:54,22.1,20
2019-09-06 05:56:05,22,48
2019-09-06 06:58:29,22.1,75
2019-09-06 07:50:29,22.1,74
2019-09-06 08:52:54,22.7,74
2019-09-06 09:56:05,23.1,75
2019-09-06 10:50:30,23.2,75
2019-09-06 11:55:17,23.2,75
2019-09-06 12:58:29,23.5,75
2019-09-06 13:50:29,23.7,75
2019-09-06 14:53:41,23.8,75
2019-09-06 15:56:05,23.8,75
2019-09-06 16:56:53,23.6,75
2019-09-06 17:54:29,23.6,74
2019-09-06 18:52:05,23.4,73
2019-09-06 19:57:41,23.1,64
2019-09-06 20:56:54,22.9,59
2019-09-06 21:51:17,22.8,59
2019-09-06 22:49:41,22.9,20
2019-09-06 23:58:29,22.6,20
2019-09-07 00:43:16,22.5,20
2019-09-07 01:47:16,22.3,20
2019-09-07 02:42:28,22.3,20
2019-09-07 03:46:28,22.2,20
2019-09-07 04:40:52,22.1,20
2019-09-07 05:50:28,22.1,35
2019-09-07 06:57:40,21.9,71
2019-09-07 07:50:28,22.2,76
2019-09-07 08:53:40,22.4,75
2019-09-07 09:52:04,22.8,76
2019-09-07 10:38:28,23.2,75
2019-09-07 11:56:04,23.8,75
2019-09-07 12:58:28,24.3,75
2019-09-07 13:52:52,24.6,75
2019-09-07 14:52:52,24.9,74
2019-09-07 15:57:40,25.4,75
2019-09-07 17:00:04,25.1,75
2019-09-07 17:52:04,25.2,74
2019-09-07 18:54:28,24.9,74
2019-09-07 19:56:51,24.8,65
2019-09-07 20:59:16,24.4,58
2019-09-07 21:52:04,24.1,58
2019-09-07 22:56:03,24,20
2019-09-07 23:58:27,23.6,20
2019-09-08 00:50:27,23.4,20
2019-09-08 01:54:27,23.1,20
2019-09-08 02:59:15,22.9,20
2019-09-08 03:52:51,22.9,20
2019-09-08 04:55:15,22.7,20
2019-09-08 05:57:39,22.7,45
2019-09-08 07:00:03,22.7,75
2019-09-08 07:52:03,22.9,76
2019-09-08 08:48:51,23.2,75
2019-09-08 10:00:03,24.1,75
2019-09-08 10:56:03,24.1,75
2019-09-08 11:40:51,24.4,74
2019-09-08 12:53:39,24.4,75
2019-09-08 13:58:27,24.4,74
2019-09-08 14:51:14,24.5,75
2019-09-08 15:55:14,24.7,74
2019-09-08 16:55:15,24.7,70
2019-09-08 17:59:14,24.9,73
2019-09-08 19:00:02,24.8,70
2019-09-08 19:52:03,24.6,65
2019-09-08 20:56:03,24.3,37
2019-09-08 21:58:26,23.9,37
2019-09-08 22:50:26,23.8,20
2019-09-08 23:52:50,23.6,20
2019-09-09 00:55:14,23.3,20
2019-09-09 01:57:38,23.1,20
2019-09-09 03:00:02,23.1,20
2019-09-09 03:52:02,22.9,20
2019-09-09 04:54:26,22.8,20
2019-09-09 05:57:38,22.7,39
2019-09-09 06:51:14,22.8,74
2019-09-09 07:47:14,22.8,75
2019-09-09 08:57:38,23,76
2019-09-09 09:52:50,23.4,75
2019-09-09 10:46:25,23.7,75
2019-09-09 11:42:25,23.6,75
2019-09-09 12:55:13,23.6,74
2019-09-09 13:57:37,24,75
2019-09-09 15:00:01,23.8,75
2019-09-09 15:52:01,23.5,72
2019-09-09 16:54:25,23.4,74
2019-09-09 17:56:49,23.4,73
2019-09-09 19:00:01,23.7,71
2019-09-09 19:52:01,23.8,60
2019-09-09 20:54:25,24.1,59
2019-09-09 21:57:37,23.9,58
2019-09-09 23:00:01,23.7,56
